Name,Sex,Age,Height,Team,NOC,Games,Year,Season,City,Sport,Medal,Event
JUNG Michael,M,39.0,,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
JUNG Yura,,,,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,,,
JUNGBLUT Tanumafili Malietoa,M,31.0,,American Samoa,ASA,Tokyo 2020,2020,Summer,Tokyo,Weightlifting,,
JUNGBLUT Viviane,F,25.0,,Brazil,BRA,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
JUNGFLEISCH Marie-Laurence,F,31.0,,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
JUNGMAN Phillip Russell,M,26.0,180.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
JUNIOR Aldemir,M,29.0,,Brazil,BRA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
JUNIOR Josh,M,32.0,,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
JUNKER Torben,M,28.0,,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
JUNNILA Ella,F,23.0,,Finland,FIN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
JURADO LOPEZ Christofer,M,26.0,,Panama,PAN,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
JURADO LOPEZ Severo,M,33.0,,Spain,ESP,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
JURAK Darija,F,37.0,180.0,Croatia,CRO,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
JURASZEK Pawel,M,27.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
JURKA Jakub,M,22.0,,Czech Republic,CZE,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
JUST Elijah,,,,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,,,
JUTANUGARN Ariya,F,26.0,168.0,Thailand,THA,Tokyo 2020,2020,Summer,Tokyo,Golf,,
KAAGMAN Inessa,F,25.0,170.0,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Football,,
KABATSKIY Maxim,M,25.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KABBARA Munzer Mark,M,19.0,,LBN,LBN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KACHUR Yana,F,24.0,173.0,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KACSER Zita,F,33.0,165.0,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KACZMAREK Lukasz,M,27.0,204.0,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KADDAH Hassan,M,21.0,204.0,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Handball,,
KADDARI Dalia,F,20.0,,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KADHI Ahmed,M,32.0,199.0,Tunisia,TUN,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KADIU Kledi,M,18.0,,Albania,ALB,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KAEI Lorine Chebet,F,22.0,179.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KAELLBERG Anton,M,24.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
KAELLBERG Christina,F,21.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
KAEWDUANG-NGAM Siripon,F,27.0,168.0,Thailand,THA,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
KAGIALIS Pavlos,M,37.0,184.0,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
KAHLER Marlene,F,20.0,,Austria,AUT,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KAISANOV Daniyar,M,28.0,,Kazakhstan,KAZ,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
KAJAIA Mihail,M,32.0,,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
KAJIKI Marin,F,22.0,164.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
KAJZER Kaja,F,21.0,,Slovenia,SLO,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KAKHRAMONOV Fanat,M,25.0,,Uzbekistan,UZB,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
KAKON Shay,F,19.0,,Israel,ISR,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
KALANINA Yelyzaveta,F,26.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KALEYN Boryana,F,21.0,165.0,Bulgaria,BUL,Tokyo 2020,2020,Summer,Tokyo,Rhythmic Gymnastics,,
KALII Hellen Syombua,F,24.0,,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KALIUZHNA Viktoriia,F,27.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KALLIOINEN Eetu,M,23.0,169.0,Finland,FIN,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KALMAR Akos,M,21.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KALMOE Megan,F,38.0,178.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KALNINS Kalvis,M,30.0,,Latvia,LAT,Tokyo 2020,2020,Summer,Tokyo,Karate,,
KALONJI Alais,F,24.0,,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Diving,,
KALU Ezinne,F,29.0,173.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
KALULU Pierre,M,21.0,179.0,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Football,,
KAMAL Kerem,M,22.0,,Turkey,TUR,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
KAMANGA-DYRBAK Tazana Mikkel,M,19.0,,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KAMBUNDJI Ditaji,F,19.0,,Switzerland,SUI,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KAMBUNDJI Mujinga,F,29.0,,Switzerland,SUI,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KAMENEVA Mariia,F,22.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KAMETANI Sakura,F,34.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Handball,,
KAMEYAMA Kohei,M,33.0,170.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Artistic Gymnastics,,
KAMINSKI Jan,,,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,,,
KAMINSKI Mateusz,M,30.0,190.0,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Canoe Sprint,,
KAMPMANN Franziska,F,24.0,181.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KAMURA Takeshi,M,31.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
KANAI Taio,M,26.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KANAMARU Kosuke,M,32.0,192.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
KANDIC Slaven,M,30.0,,Montenegro,MNE,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
KANDIL Amira,F,18.0,,Egypt,EGY,Tokyo 2020,2020,Summer,Tokyo,Modern Pentathlon,,
KANEKO Hiromi,F,41.0,170.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
KANG Baekho,M,22.0,184.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Baseball/Softball,,
KANG Danielle,F,29.0,168.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Golf,,
KANG Eunhye,F,25.0,186.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Handball,,
KANG Kyungmin,F,25.0,165.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Handball,,
KANG Leeseul,F,27.0,180.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
KANG Minho,M,36.0,185.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Baseball/Softball,,
KANG Yeounhee,F,29.0,,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Weightlifting,,
KANG Yoonseong,M,24.0,172.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Football,,
KANG Yujeong,F,25.0,,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KANGERT Tanel,M,34.0,,Estonia,EST,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
KANO Ryota,M,29.0,177.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
KANTOR Piotr,M,29.0,200.0,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Beach Volleyball,,
KAO Chan-Hung,M,28.0,,Chinese Taipei,TPE,Tokyo 2020,2020,Summer,Tokyo,Weightlifting,,
KAPAS Boglarka,F,28.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KAPLINA Iuliia,F,28.0,165.0,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Sport Climbing,,
KAPS Jessie,F,23.0,,Belgium,BEL,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KAPUTIN Rellie,F,28.0,,Papua New Guinea,PNG,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KARACHALIOU Vasileia,F,25.0,172.0,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
KARADENIZ Suleyman,M,26.0,,Turkey,TUR,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
KARAKAS Hedvig,F,31.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KARAKOUSKAYA Nastassia,F,25.0,,Belarus,BLR,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KARAKURT Ebrar,F,21.0,197.0,Turkey,TUR,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KARALIENE Donata,F,32.0,,Lithuania,LTU,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KARALIOK Yauheni,M,25.0,181.0,Belarus,BLR,Tokyo 2020,2020,Summer,Tokyo,Cycling Track,,
KARALIS Emmanouil,M,22.0,,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KARAMESIOU Pinelopi,F,18.0,165.0,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Artistic Swimming,,
KARAMETE Irem,F,28.0,,Turkey,TUR,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
KARAMOSLI Elyes,M,32.0,198.0,Tunisia,TUN,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KARAMZADEH Fatemeh,F,23.0,,Islamic Republic of Iran,IRI,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KARAPETIAN Ferdinand,M,29.0,,Armenia,ARM,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KARAPETYAN Elmira,F,27.0,,Armenia,ARM,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KARDASZ Klaudia,F,25.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KARIMI Milad,M,22.0,169.0,Kazakhstan,KAZ,Tokyo 2020,2020,Summer,Tokyo,Artistic Gymnastics,,
KARIMISOUCHELMAEI Javad,M,23.0,204.0,Islamic Republic of Iran,IRI,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KARIMOVA Elvina,F,27.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
KARLSSON Kristian,M,30.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
KARLSSON Lovisa,F,26.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
KARLSSON Mathilda,F,37.0,,Sri Lanka,SRI,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
