Country,Year,Medal,Participation_own_country,Soviet_past,AthletesNumber,Population,GDP_per_capita,Urban Population(%)
Dominican Republic,2008,2,0,0,24,9522948.0,5053.330284942477,71.3
Dominican Republic,2012,2,0,0,33,10030882.0,6049.471587098453,75.802
Dominican Republic,2016,1,0,0,26,10527592.0,7191.0697030865085,79.436
Dominican Republic,2020,5,0,0,66,10999664.0,7167.914974328089,82.54
East Timor (Timor-Leste),2004,0,0,0,2,945989.0,465.9377646040282,25.71
East Timor (Timor-Leste),2008,0,0,0,1,1043076.0,621.7414646679629,27.048
East Timor (Timor-Leste),2012,0,0,0,2,1137676.0,1020.1102950224845,28.428
East Timor (Timor-Leste),2016,0,0,0,3,1224562.0,1349.5467767250657,29.85
East Timor (Timor-Leste),2020,0,0,0,3,1299995.0,1663.5596290754963,31.32
Ecuador,2000,0,0,0,10,12626507.0,1451.530885179979,60.299
Ecuador,2004,0,0,0,16,13534593.0,2703.565670574653,61.514
Ecuador,2008,1,0,0,25,14496797.0,4260.433183964707,62.3
Ecuador,2012,0,0,0,36,15483883.0,5678.455720700033,62.988
Ecuador,2016,0,0,0,37,16439585.0,6079.0887361207715,63.534
Ecuador,2020,3,0,0,47,17588595.0,5645.199289653324,64.166
Egypt,2000,0,0,0,89,71371371.0,1398.8598307867212,42.797
Egypt,2004,5,0,0,96,77522427.0,1016.253883956284,42.981
Egypt,2008,1,0,0,100,83844783.0,1941.8999726933757,43.058
Egypt,2012,2,0,0,109,91240376.0,3059.1354277920445,42.946
Egypt,2016,3,0,0,121,99784030.0,3331.612461346881,42.732
Egypt,2020,6,0,0,141,107465134.0,3571.5569065135023,42.783
El Salvador,2000,0,0,0,8,5958482.0,1977.8406144383755,58.912
El Salvador,2004,0,0,0,7,6035655.0,2273.955502758193,61.107
El Salvador,2008,0,0,0,11,6068099.0,2964.172140237,63.678
El Salvador,2012,0,0,0,10,6161289.0,3471.0512686549846,67.187
El Salvador,2016,0,0,0,8,6250510.0,3870.3129824606312,70.501
El Salvador,2020,0,0,0,5,6292731.0,3961.72663347599,73.444
Equatorial Guinea,2000,0,0,0,4,684977.0,1527.0563777159232,49.092
Equatorial Guinea,2004,0,0,0,2,826355.0,5337.614389296767,56.033
Equatorial Guinea,2008,0,0,0,3,994971.0,19849.717766970494,62.745
Equatorial Guinea,2012,0,0,0,2,1193636.0,18756.425027322486,69.0
Equatorial Guinea,2016,0,0,0,1,1398927.0,8035.307665584266,71.138
Equatorial Guinea,2020,0,0,0,3,1596049.0,6198.94252378655,73.1
Eritrea,2000,0,0,0,3,2392880.0,295.19692403480997,26.587
Eritrea,2004,1,0,0,4,2763140.0,401.3745251560579,30.164
Eritrea,2008,0,0,0,10,3005779.0,459.1784026703227,34.0
Eritrea,2012,0,0,0,12,3252596.0,,36.372
Eritrea,2016,0,0,0,12,3365287.0,,38.827
Eritrea,2020,0,0,0,13,3555868.0,,41.347
Estonia,2000,3,0,1,33,1396985.0,4070.609024102077,69.368
Estonia,2004,3,0,1,42,1362550.0,8914.103556744487,68.862
Estonia,2008,2,0,1,47,1337090.0,18204.96647867623,68.351
Estonia,2012,2,0,1,32,1322696.0,17403.205325476676,67.974
Estonia,2016,1,0,1,46,1315790.0,18295.34293221137,68.563
Estonia,2020,2,0,1,33,1329522.0,23595.243683644047,69.229
Ethiopia,2000,8,0,0,26,67031867.0,122.96165968141392,14.74
Ethiopia,2004,7,0,0,26,75301026.0,134.54248633268423,15.504
Ethiopia,2008,7,0,0,27,84357105.0,320.86108971168227,16.51
Ethiopia,2012,7,0,0,33,94451280.0,458.55092079305757,18.16
Ethiopia,2016,8,0,0,37,105293228.0,705.6175085435893,19.866
Ethiopia,2020,4,0,0,37,117190911.0,918.6525940774195,21.695
Fiji,2000,0,0,0,7,832509.0,2015.8574957127069,47.908
Fiji,2004,0,0,0,8,866694.0,3124.607389263246,49.479
Fiji,2008,0,0,0,6,896731.0,3928.921738579641,51.146
Fiji,2012,0,0,0,9,911059.0,4359.792400353083,53.196
Fiji,2016,1,0,0,53,918371.0,5368.433491864313,55.235
Fiji,2020,2,0,0,32,920422.0,4815.689148125402,57.247
Finland,2000,4,0,0,70,5176209.0,24345.914821703296,82.183
Finland,2004,2,0,0,53,5228172.0,37772.178111039764,82.772
Finland,2008,4,0,0,57,5313399.0,53772.794239002,83.299
Finland,2012,3,0,0,56,5413971.0,47708.06127844682,84.841
Finland,2016,1,0,0,54,5495303.0,43814.02650569641,85.275
Finland,2020,2,0,0,45,5529543.0,49169.71933884988,85.517
France,2000,38,0,0,336,60921384.0,22416.425417914994,75.871
France,2004,33,0,0,308,62716306.0,33797.1624418436,76.883
France,2008,41,0,0,309,64379696.0,45515.961753347205,77.868
France,2012,35,0,0,324,65662240.0,40870.85236457346,78.878
France,2016,42,0,0,392,66724104.0,37062.53357238293,79.917
France,2020,32,0,0,392,67571107.0,39179.744259605664,80.975
Gabon,2000,0,0,0,5,1272935.0,3991.157151410033,78.879
